neighbourhood_group,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,price
Manhattan,Chinatown,40.71624,-73.99995,Private room,2,35,4.32,1,6,100
Manhattan,Upper West Side,40.80244,-73.96592,Shared room,1,1,0.48,2,363,50
Brooklyn,Windsor Terrace,40.6585,-73.98397,Private room,2,21,0.26,1,272,135
Manhattan,Washington Heights,40.84103,-73.94063,Private room,30,3,0.26,34,311,65
Brooklyn,East Flatbush,40.65329,-73.92756,Shared room,7,1,0.11,1,179,50
Manhattan,Hell's Kitchen,40.76142,-73.99431,Entire home/apt,3,1,1.0,1,5,390
Brooklyn,Kensington,40.64644,-73.9756,Entire home/apt,1,10,0.21,1,0,95
Brooklyn,Bushwick,40.6999,-73.92417,Private room,14,0,,1,31,52
Brooklyn,Bushwick,40.69971,-73.93729,Entire home/apt,2,46,1.92,1,19,162
Bronx,Concourse Village,40.82692,-73.92183,Private room,5,46,1.55,1,174,45
Brooklyn,Bay Ridge,40.62398,-74.02786,Private room,1,0,,2,179,79
Manhattan,Morningside Heights,40.81165,-73.95639,Private room,9,7,0.15,1,0,60
Manhattan,Chelsea,40.75224,-73.99487,Private room,3,164,2.34,1,27,76
Manhattan,Upper West Side,40.7952,-73.9624,Private room,1,280,3.51,1,246,99
Manhattan,Washington Heights,40.84411,-73.93764,Private room,2,3,0.07,1,0,45
Queens,Jackson Heights,40.75462,-73.88284,Entire home/apt,2,13,0.3,1,288,144
Manhattan,Hell's Kitchen,40.76269,-73.99364,Entire home/apt,30,4,0.23,20,272,130
Manhattan,Harlem,40.80407,-73.95762,Entire home/apt,1,1,0.02,1,0,89
Manhattan,Upper East Side,40.7754,-73.95236,Entire home/apt,2,8,0.26,1,0,125
Brooklyn,Williamsburg,40.70617,-73.93761,Shared room,1,34,0.48,3,75,40
Brooklyn,Bedford-Stuyvesant,40.68592,-73.92695,Entire home/apt,31,1,0.51,2,155,120
Manhattan,West Village,40.73243,-74.00333,Private room,3,1,1.0,1,52,160
Queens,Ditmars Steinway,40.77371,-73.91689,Private room,3,10,0.79,1,88,85
Manhattan,Lower East Side,40.71571,-73.98699,Entire home/apt,35,0,,1,0,85
Manhattan,Harlem,40.81515,-73.9421,Private room,1,0,,1,0,80
Brooklyn,Bushwick,40.68764,-73.91445,Private room,1,57,4.76,1,48,65
Manhattan,Murray Hill,40.7494,-73.9784,Entire home/apt,30,6,1.94,1,135,220
Brooklyn,Canarsie,40.64138,-73.91488,Private room,1,11,0.48,4,347,75
Manhattan,Harlem,40.82042,-73.95256,Private room,2,5,0.14,2,0,65
Manhattan,Nolita,40.72206,-73.99497,Entire home/apt,5,1,0.05,1,0,350
Manhattan,Hell's Kitchen,40.76115,-73.99823,Entire home/apt,30,0,,18,146,499
Brooklyn,Bedford-Stuyvesant,40.68885,-73.95296,Entire home/apt,2,5,0.25,1,0,142
Brooklyn,Midwood,40.62914,-73.9575,Entire home/apt,2,2,0.11,1,0,116
Queens,Rego Park,40.71639,-73.85799,Private room,2,12,1.45,2,19,60
Manhattan,Upper East Side,40.76471,-73.95819,Private room,1,2,0.06,2,0,85
Manhattan,Upper West Side,40.79072,-73.97252,Entire home/apt,3,0,,1,0,150
Brooklyn,Flatbush,40.63609,-73.96687,Private room,2,1,0.04,1,0,69
Brooklyn,Bushwick,40.70043,-73.92266,Entire home/apt,30,0,,1,0,70
Brooklyn,Williamsburg,40.71174,-73.94353,Private room,1,0,,1,0,100
Manhattan,Upper East Side,40.77747,-73.95193,Entire home/apt,31,4,0.21,33,299,190
Manhattan,Harlem,40.81942,-73.95796,Entire home/apt,2,5,2.88,1,0,99
Queens,Ridgewood,40.70605,-73.90374,Private room,1,14,1.7,1,272,50
Manhattan,East Village,40.72439,-73.97767,Private room,7,1,0.03,1,0,100
Queens,Rosedale,40.66524,-73.73283,Private room,1,89,4.01,3,356,84
Manhattan,East Harlem,40.78668,-73.94247,Private room,2,2,0.08,1,0,85
Brooklyn,Flatbush,40.62918,-73.96348,Entire home/apt,3,9,0.16,1,0,100
Brooklyn,Flatbush,40.63462,-73.95572,Entire home/apt,2,13,1.53,1,160,150
Brooklyn,Williamsburg,40.715,-73.95018,Entire home/apt,10,3,0.06,1,0,80
Queens,Astoria,40.77002,-73.92332,Private room,1,27,2.02,9,363,50
Brooklyn,Bushwick,40.69542,-73.93258,Private room,2,5,0.11,3,4,65
Manhattan,Harlem,40.82916,-73.9498,Entire home/apt,2,4,0.94,1,0,160
Brooklyn,Brooklyn Heights,40.69016,-73.99311,Entire home/apt,2,13,0.52,1,0,149
Manhattan,Hell's Kitchen,40.75825,-73.98982,Private room,1,54,4.34,1,341,125
Manhattan,Theater District,40.76015,-73.98497,Entire home/apt,1,2,0.41,1,301,890
Bronx,Melrose,40.82231,-73.91696,Entire home/apt,7,0,,1,254,69
Manhattan,Upper East Side,40.76812,-73.95403,Private room,1,62,2.58,2,258,79
Manhattan,East Harlem,40.80622,-73.93875,Entire home/apt,2,0,,1,3,115
Brooklyn,Carroll Gardens,40.68036,-73.99247,Entire home/apt,3,4,0.53,1,5,180
Brooklyn,Crown Heights,40.67863,-73.95859,Private room,1,2,0.17,1,0,70
Queens,Woodside,40.75375,-73.90037,Private room,2,21,1.94,5,125,57
Manhattan,Upper East Side,40.7626,-73.96031,Entire home/apt,3,57,1.51,1,93,199
Manhattan,Upper West Side,40.80046,-73.96598,Private room,1,5,0.22,1,0,75
Brooklyn,Williamsburg,40.71791,-73.94242,Private room,3,0,,1,0,65
Manhattan,East Village,40.72801,-73.98336,Entire home/apt,3,0,,1,0,250
Brooklyn,Fort Greene,40.6971,-73.97316,Private room,2,1,0.07,1,0,102
Queens,Ridgewood,40.70719,-73.89632,Private room,14,11,0.15,1,332,75
Manhattan,Upper West Side,40.80154,-73.96106,Entire home/apt,3,5,3.85,1,320,550
Manhattan,Tribeca,40.71612,-74.01054,Entire home/apt,2,1,0.09,1,363,500
Manhattan,SoHo,40.72547,-74.0021,Entire home/apt,1,94,5.18,1,187,190
Brooklyn,Greenpoint,40.72173,-73.94768,Entire home/apt,30,4,0.12,4,301,110
Manhattan,Battery Park City,40.7068,-74.01775,Private room,1,1,1.0,7,339,100
Brooklyn,Red Hook,40.67817,-74.00991,Private room,2,41,2.94,1,3,52
Brooklyn,Williamsburg,40.71688,-73.94584,Entire home/apt,2,88,1.31,1,223,250
Manhattan,Kips Bay,40.74164,-73.98275,Private room,2,41,1.18,1,242,175
Brooklyn,Carroll Gardens,40.67793,-73.99531,Entire home/apt,1,78,2.22,5,365,150
Brooklyn,Greenpoint,40.72485,-73.94582,Private room,5,0,,1,0,99
Brooklyn,Prospect-Lefferts Gardens,40.65682,-73.95875,Entire home/apt,3,0,,2,0,125
Brooklyn,Williamsburg,40.71901,-73.96303,Private room,2,1,0.16,1,0,70
Brooklyn,Greenpoint,40.73413,-73.95835,Private room,14,0,,1,0,49
Manhattan,Upper East Side,40.769,-73.9541,Entire home/apt,2,5,0.11,1,0,200
Manhattan,Harlem,40.81818,-73.93905,Private room,1,12,0.33,1,0,49
Brooklyn,Williamsburg,40.71028,-73.96128,Private room,2,5,0.06,2,365,75
Manhattan,Midtown,40.76545,-73.98156,Entire home/apt,30,1,0.23,121,351,239
Queens,Ditmars Steinway,40.77594,-73.90799,Private room,2,0,,1,35,55
Queens,Ditmars Steinway,40.7785,-73.91693,Private room,1,5,0.15,2,0,55
Manhattan,Washington Heights,40.83735,-73.94351,Private room,3,89,2.53,1,66,55
Manhattan,Chelsea,40.74032,-74.00265,Entire home/apt,4,6,0.16,1,0,110
